"journal","year","pubmed"
"Ann Intern Med",2021,34904857
"Ann Intern Med",2021,34807719
"Ann Intern Med",2021,34516270
"Ann Intern Med",2021,33560863
"Ann Intern Med",2021,33428446
"Ann Intern Med",2022,35377720
"Ann Intern Med",2022,35226522
"Ann Intern Med",2022,35073157
"BMJ",2012,23321486
"BMJ",2012,23248080
"BMJ",2012,23220130
"BMJ",2012,23150473
"BMJ",2012,23112118
"BMJ",2012,23097549
"BMJ",2012,23081689
"BMJ",2012,23048010
"BMJ",2012,23045257
"BMJ",2012,23044984
"BMJ",2012,23038795
"BMJ",2012,23033409
"BMJ",2012,23015032
"BMJ",2012,22968722
"BMJ",2012,22930703
"BMJ",2012,22885395
"BMJ",2012,22872710
"BMJ",2012,22867913
"BMJ",2012,22849956
"BMJ",2012,22835925
"BMJ",2012,22833605
"BMJ",2012,22833604
"BMJ",2012,22786934
"BMJ",2012,22782848
"BMJ",2012,22777026
"BMJ",2012,22736467
"BMJ",2012,22700784
"BMJ",2012,22695899
"BMJ",2012,22692650
"BMJ",2012,22677795
"BMJ",2012,22611164
"BMJ",2012,22596383
"BMJ",2012,22563098
"BMJ",2012,22529302
"BMJ",2012,22517929
"BMJ",2012,22491789
"BMJ",2012,22451477
"BMJ",2012,22422870
"BMJ",2012,22411919
"BMJ",2012,22371867
"BMJ",2012,22371859
"BMJ",2012,22354599
"BMJ",2012,22334559
"BMJ",2012,22331277
"BMJ",2012,22323502
"BMJ",2012,22306479
"BMJ",2012,22294757
"BMJ",2012,22277543
"BMJ",2012,22236411
"BMJ",2012,22232539
"BMJ",2013,24473061
"BMJ",2013,24473060
"BMJ",2013,24355537
"BMJ",2013,24304677
"BMJ",2013,24212107
"BMJ",2013,24196498
"BMJ",2013,24191270
"BMJ",2013,24169944
"BMJ",2013,24157497
"BMJ",2013,24149519
"BMJ",2013,24136633
"BMJ",2013,24092942
"BMJ",2013,24092941
"BMJ",2013,24055922
"BMJ",2013,24048298
"BMJ",2013,24046285
"BMJ",2013,24030561
"BMJ",2013,23996149
"BMJ",2013,23990623
"BMJ",2013,23974637
"BMJ",2013,23950195
"BMJ",2013,23935058
"BMJ",2013,23929894
"BMJ",2013,23926315
"BMJ",2013,23900314
"BMJ",2013,23851720
"BMJ",2013,23814120
"BMJ",2013,23814104
"BMJ",2013,23794316
"BMJ",2013,23775799
"BMJ",2013,23766464
"BMJ",2013,23757735
"BMJ",2013,23645857
"BMJ",2013,23637132
"BMJ",2013,23616031
"BMJ",2013,23558282
"BMJ",2013,23558164
"BMJ",2013,23558163
"BMJ",2013,23558162
"BMJ",2013,23533188
"BMJ",2013,23532866
"BMJ",2013,23529983
"BMJ",2013,23511950
"BMJ",2013,23444423
"BMJ",2013,23418281
"BMJ",2013,23412440
"BMJ",2013,23403829
"BMJ",2013,23393080
"BMJ",2013,23386268
"BMJ",2013,23360719
"BMJ",2013,23360717
"BMJ",2013,23358488
"BMJ",2013,23335473
"BMJ",2013,23335472
"BMJ",2013,23325883
"BMJ",2013,23303886
"BMJ",2013,23299842
"BMJ",2013,23295181
"BMJ",2014,25422259
"BMJ",2014,25389143
"BMJ",2014,25378023
"BMJ",2014,25352501
"BMJ",2014,25281681
"BMJ",2014,25274009
"BMJ",2014,25232064
"BMJ",2014,25134100
"BMJ",2014,25099709
"BMJ",2014,25097193
"BMJ",2014,25073782
"BMJ",2014,25038074
"BMJ",2014,25011450
"BMJ",2014,25006006
"BMJ",2014,24958153
"BMJ",2014,24938302
"BMJ",2014,24922745
"BMJ",2014,24919052
"BMJ",2014,24850821
"BMJ",2014,24846275
"BMJ",2014,24821132
"BMJ",2014,24811411
"BMJ",2014,24778175
"BMJ",2014,24736555
"BMJ",2014,24735917
"BMJ",2014,24735883
"BMJ",2014,24690623
"BMJ",2014,24687313
"BMJ",2014,24647162
"BMJ",2014,24615063
"BMJ",2014,24524926
"BMJ",2014,24452368
"BMJ",2014,24452269
"BMJ",2014,24429387
"BMJ",2014,25954988
"BMJ",2015,26645251
"BMJ",2015,26608737
"BMJ",2015,26537292
"BMJ",2015,26420598
"BMJ",2015,26420387
"BMJ",2015,26419648
"BMJ",2015,26321114
"BMJ",2015,26290044
"BMJ",2015,26268692
"BMJ",2015,26220070
"BMJ",2015,26199070
"BMJ",2015,26142020
"BMJ",2015,26115663
"BMJ",2015,26109551
"BMJ",2015,26101226
"BMJ",2015,26080045
"BMJ",2015,26041151
"BMJ",2015,26016488
"BMJ",2015,25896935
"BMJ",2015,25883067
"BMJ",2015,25881903
"BMJ",2015,25828856
"BMJ",2015,25810496
"BMJ",2015,25805204
"BMJ",2015,25770113
"BMJ",2015,25767129
"BMJ",2015,25740799
"BMJ",2015,25694111
"BMJ",2015,25656228
"BMJ",2015,25655431
"BMJ",2015,25646632
"BMJ",2015,25609400
"BMJ",2015,25587065
"BMJ",2015,25556126
"BMJ",2015,25555827
"BMJ",2015,25555821
"BMJ",2016,27919915
"BMJ",2016,27908918
"BMJ",2016,27895031
"BMJ",2016,27884869
"BMJ",2016,27881363
"BMJ",2016,27821641
"BMJ",2016,27811064
"BMJ",2016,27789483
"BMJ",2016,27756717
"BMJ",2016,27754843
"BMJ",2016,27737834
"BMJ",2016,27733360
"BMJ",2016,27650503
"BMJ",2016,27624087
"BMJ",2016,27599725
"BMJ",2016,27599496
"BMJ",2016,27511067
"BMJ",2016,27510511
"BMJ",2016,27469988
"BMJ",2016,27301975
"BMJ",2016,27142267
"BMJ",2016,27102806
"BMJ",2016,27098105
"BMJ",2016,27094586
"BMJ",2016,27091337
"BMJ",2016,27071971
"BMJ",2016,27026510
"BMJ",2016,26980184
"BMJ",2016,26979548
"BMJ",2016,26956579
"BMJ",2016,26936410
"BMJ",2016,26920333
"BMJ",2016,26888822
"BMJ",2016,26868137
"BMJ",2016,26823518
"BMJ",2016,26819231
"BMJ",2016,26786546
"BMJ",2017,29229609
"BMJ",2017,29187358
"BMJ",2017,29183961
"BMJ",2017,29167102
"BMJ",2017,29138133
"BMJ",2017,29133286
"BMJ",2017,29097396
"BMJ",2017,29074629
"BMJ",2017,29074563
"BMJ",2017,29046286
"BMJ",2017,28947636
"BMJ",2017,28931508
"BMJ",2017,28903922
"BMJ",2017,28724518
"BMJ",2017,28676557
"BMJ",2017,28596247
"BMJ",2017,28487435
"BMJ",2017,28446428
"BMJ",2017,28302601
"BMJ",2017,28202713
"BMJ",2017,28122812
"BMJ",2017,28104622
"BMJ",2017,28087510
"BMJ",2017,28052845
"BMJ",2018,30563866
"BMJ",2018,30518635
"BMJ",2018,30487232
"BMJ",2018,30467245
"BMJ",2018,30463844
"BMJ",2018,30409774
"BMJ",2018,30401700
"BMJ",2018,30361202
"BMJ",2018,30305269
"BMJ",2018,30297439
"BMJ",2018,30201790
"BMJ",2018,30185521
"BMJ",2018,30158200
"BMJ",2018,30158148
"BMJ",2018,29785952
"BMJ",2018,29743278
"BMJ",2018,29669716
"BMJ",2018,29540345
"BMJ",2018,29487049
"BMJ",2018,29467161
"BMJ",2018,29367388
"BMJ",2019,31852680
"BMJ",2019,31826881
"BMJ",2019,31801749
"BMJ",2019,31727627
"BMJ",2019,31722884
"BMJ",2019,31601578
"BMJ",2019,31591158
"BMJ",2019,31585960
"BMJ",2019,31434697
"BMJ",2019,31434641
"BMJ",2019,31405892
"BMJ",2019,31371314
"BMJ",2019,31345923
"BMJ",2019,31340984
"BMJ",2019,31340932
"BMJ",2019,31340931
"BMJ",2019,31315828
"BMJ",2019,31285198
"BMJ",2019,31270064
"BMJ",2019,31253632
"BMJ",2019,31189617
"BMJ",2019,30995986
"BMJ",2019,30975661
"BMJ",2019,30967483
"BMJ",2019,30967375
"BMJ",2019,30917990
"BMJ",2019,30867144
"BMJ",2019,30792179
"BMJ",2019,30700403
"BMJ",2019,30630856
"BMJ",2019,30617123
"BMJ",2019,30602577
"BMJ",2020,33239318
"BMJ",2020,33177069
"BMJ",2020,33148618
"BMJ",2020,33148535
"BMJ",2020,32967840
"BMJ",2020,32943437
"BMJ",2020,32907799
"BMJ",2020,32873575
"BMJ",2020,32816816
"BMJ",2020,32699048
"BMJ",2020,32669343
"BMJ",2020,32669282
"BMJ",2020,32636183
"BMJ",2020,32611558
"BMJ",2020,32467098
"BMJ",2020,32404325
"BMJ",2020,32381490
"BMJ",2020,32371466
"BMJ",2020,32238384
"BMJ",2020,32188637
"BMJ",2020,32161042
"BMJ",2020,32156698
"BMJ",2020,32132002
"BMJ",2020,32094151
"BMJ",2020,32051121
"BMJ",2020,32024657
"BMJ",2020,31969320
"BMJ",2020,31964641
"BMJ",2020,31907166
"BMJ",2021,34933868
"BMJ",2021,34789505
"BMJ",2021,34772657
"BMJ",2021,34645650
"BMJ",2021,34610915
"BMJ",2021,34556486
"BMJ",2021,34526355
"BMJ",2021,34497047
"BMJ",2021,34407988
"BMJ",2021,34404631
"BMJ",2021,34348965
"BMJ",2021,34261627
"BMJ",2021,34233900
"BMJ",2021,34233885
"BMJ",2021,34135011
"BMJ",2021,33972268
"BMJ",2021,33910882
"BMJ",2021,33903131
"BMJ",2021,33762262
"BMJ",2021,33758001
"BMJ",2021,33658187
"BMJ",2021,33632704
"BMJ",2021,33568342
"BMJ",2021,33472813
"BMJ",2021,33441402
"BMJ",2021,33441384
"BMJ",2022,35613728
"BMJ",2022,35508321
"BMJ",2022,35508320
"BMJ",2022,35379650
"BMJ",2022,35354560
"BMJ",2022,35331984
"BMJ",2022,35296519
"BMJ",2022,35264372
"BMJ",2022,35236664
"BMJ",2022,35232772
"BMJ",2022,35217545
"BMJ",2022,35197242
"BMJ",2022,35140066
"BMJ",2022,35082116
"BMJ",2022,35045991
"BMJ",2022,35042741
"Lancet",2012,23117178
"Lancet",2012,23013602
"Lancet",2012,23013600
"Lancet",2012,22998717
"Lancet",2012,22981903
"Lancet",2012,22850358
"Lancet",2012,22819656
"Lancet",2012,22795511
"Lancet",2012,22683130
"Lancet",2012,22682464
"Lancet",2012,22607825
"Lancet",2012,22607822
"Lancet",2012,22560607
"Lancet",2012,22554860
"Lancet",2012,22541275
"Lancet",2012,22445239
"Lancet",2012,22440947
"Lancet",2012,22440946
"Lancet",2012,22421340
"Lancet",2012,22421339
"Lancet",2012,22377290
"Lancet",2012,22357109
"Lancet",2012,22293369
"Lancet",2012,22265699
"Lancet",2012,22226047
"Lancet",2013,24332274
"Lancet",2013,24315724
"Lancet",2013,24269108
"Lancet",2013,24119980
"Lancet",2013,24075279
"Lancet",2013,24011551
"Lancet",2013,24007976
"Lancet",2013,23915883
"Lancet",2013,23870817
"Lancet",2013,23849322
"Lancet",2013,23810019
"Lancet",2013,23790353
"Lancet",2013,23746902
"Lancet",2013,23746775
"Lancet",2013,23726390
"Lancet",2013,23697825
"Lancet",2013,23683640
"Lancet",2013,23639488
"Lancet",2013,23498095
"Lancet",2013,23369797
"Lancet",2013,23352552
"Lancet",2014,25468168
"Lancet",2014,25467565
"Lancet",2014,25262344
"Lancet",2014,25220191
"Lancet",2014,25193873
"Lancet",2014,25131979
"Lancet",2014,25131978
"Lancet",2014,25106063
"Lancet",2014,25059938
"Lancet",2014,24680633
"Lancet",2014,24656685
"Lancet",2014,24613026
"Lancet",2014,24576776
"Lancet",2014,24529867
"Lancet",2014,24529560
"Lancet",2015,26724178
"Lancet",2015,26597771
"Lancet",2015,26559744
"Lancet",2015,26411986
"Lancet",2015,26334160
"Lancet",2015,26318519
"Lancet",2015,26298822
"Lancet",2015,26277246
"Lancet",2015,26211827
"Lancet",2015,26211824
"Lancet",2015,26009228
"Lancet",2015,25975452
"Lancet",2015,25777667
"Lancet",2015,25777661
"Lancet",2015,25748612
"Lancet",2015,25684585
"Lancet",2015,25640810
"Lancet",2015,25579834
"Lancet",2016,27979381
"Lancet",2016,27720497
"Lancet",2016,27692469
"Lancet",2016,27423262
"Lancet",2016,27289172
"Lancet",2016,27216139
"Lancet",2016,27209146
"Lancet",2016,27115820
"Lancet",2016,27061677
"Lancet",2016,26997557
"Lancet",2016,26898852
"Lancet",2016,26880122
"Lancet",2016,26869575
"Lancet",2016,26825231
"Lancet",2016,26777270
"Lancet",2017,29223694
"Lancet",2017,29137869
"Lancet",2017,29126600
"Lancet",2017,28831992
"Lancet",2017,28778541
"Lancet",2017,28732815
"Lancet",2017,28455148
"Lancet",2017,28390695
"Lancet",2017,28290994
"Lancet",2017,28159391
"Lancet",2018,30528484
"Lancet",2018,30528471
"Lancet",2018,30424892
"Lancet",2018,30293769
"Lancet",2018,30215381
"Lancet",2018,30146330
"Lancet",2018,29726345
"Lancet",2018,29478841
"Lancet",2018,29477251
"Lancet",2019,31668726
"Lancet",2019,31474332
"Lancet",2019,31327566
"Lancet",2019,31327564
"Lancet",2019,31303314
"Lancet",2019,31255301
"Lancet",2019,31200992
"Lancet",2019,31128925
"Lancet",2019,31056295
"Lancet",2019,31030987
"Lancet",2019,31006573
"Lancet",2019,30929893
"Lancet",2019,30782340
"Lancet",2019,30773280
"Lancet",2019,30739743
"Lancet",2019,30712900
"Lancet",2019,30712879
"Lancet",2019,30638909
"Lancet",2020,33186535
"Lancet",2020,33176180
"Lancet",2020,33002431
"Lancet",2020,32877652
"Lancet",2020,32828187
"Lancet",2020,32771107
"Lancet",2020,32497510
"Lancet",2020,32446407
"Lancet",2020,32386592
"Lancet",2020,32334654
"Lancet",2020,32199484
"Lancet",2021,34953525
"Lancet",2021,34793745
"Lancet",2021,34774198
"Lancet",2021,34774144
"Lancet",2021,34474011
"Lancet",2021,34119000
"Lancet",2021,33965067
"Lancet",2021,33933205
"Lancet",2021,33865495
"Lancet",2021,33773630
"Lancet",2021,33714390
"Lancet",2021,33617777
"Lancet",2022,35512728
"Lancet",2022,35397861
"Lancet",2022,35279232
"Lancet",2022,35219395
"Lancet",2022,35202601
"JAMA",2012,23287889
"JAMA",2012,23117780
"JAMA",2012,23111824
"JAMA",2012,23093163
"JAMA",2012,22968891
"JAMA",2012,22948700
"JAMA",2012,22910758
"JAMA",2012,22910757
"JAMA",2012,22665107
"JAMA",2012,22570464
"JAMA",2012,22570462
"JAMA",2012,22535858
"JAMA",2012,22496266
"JAMA",2012,22453571
"JAMA",2012,22357834
"JAMA",2012,22337682
"JAMA",2012,22337681
"JAMA",2012,22318282
"JAMA",2012,22274685
"JAMA",2012,22253396
"JAMA",2013,24150467
"JAMA",2013,24026602
"JAMA",2013,23989797
"JAMA",2013,23982370
"JAMA",2013,23982368
"JAMA",2013,23652523
"JAMA",2013,23571587
"JAMA",2013,23443444
"JAMA",2013,23423413
"JAMA",2013,23403684
"JAMA",2013,23280227
"JAMA",2014,25399277
"JAMA",2014,25393378
"JAMA",2014,25321910
"JAMA",2014,25247519
"JAMA",2014,25226478
"JAMA",2014,25182101
"JAMA",2014,25027143
"JAMA",2014,24938564
"JAMA",2014,24892770
"JAMA",2014,24825644
"JAMA",2014,24737366
"JAMA",2014,24715074
"JAMA",2014,24691607
"JAMA",2015,26647259
"JAMA",2015,26624827
"JAMA",2015,26529161
"JAMA",2015,26103030
"JAMA",2015,26010634
"JAMA",2015,25988463
"JAMA",2015,25988462
"JAMA",2015,25668264
"JAMA",2016,27923088
"JAMA",2016,27893131
"JAMA",2016,27846641
"JAMA",2016,27838722
"JAMA",2016,27701660
"JAMA",2016,27673306
"JAMA",2016,27673305
"JAMA",2016,27532916
"JAMA",2016,27434443
"JAMA",2016,27327802
"JAMA",2016,27305422
"JAMA",2016,27299618
"JAMA",2016,26934261
"JAMA",2016,26903336
"JAMA",2016,26813212
"JAMA",2016,26757465
"JAMA",2016,26757464
"JAMA",2017,29279934
"JAMA",2017,29127948
"JAMA",2017,29114830
"JAMA",2017,28697252
"JAMA",2017,28586887
"JAMA",2017,28399251
"JAMA",2017,28118460
"JAMA",2018,30575881
"JAMA",2018,30561481
"JAMA",2018,30326511
"JAMA",2018,30326501
"JAMA",2018,30285179
"JAMA",2018,30167704
"JAMA",2018,29872859
"JAMA",2018,29801010
"JAMA",2018,29677303
"JAMA",2018,29677301
"JAMA",2018,29584842
"JAMA",2018,29554195
"JAMA",2018,29554174
"JAMA",2019,31821436
"JAMA",2019,31593272
"JAMA",2019,31573636
"JAMA",2019,31429897
"JAMA",2019,31063572
"JAMA",2019,30721300
"JAMA",2019,30667501
"JAMA",2020,33048152
"JAMA",2020,32876694
"JAMA",2020,32662861
"JAMA",2020,32515813
"JAMA",2020,32496521
"JAMA",2020,32453373
"JAMA",2020,32427305
"JAMA",2020,32343335
"JAMA",2020,32016309
"JAMA",2021,34874413
"JAMA",2021,34427595
"JAMA",2021,34255008
"JAMA",2021,34228774
"JAMA",2021,34128998
"JAMA",2021,34009257
"JAMA",2021,33755082
"JAMA",2021,33635310
"JAMA",2022,35471507
"JAMA",2022,35323851
"N Engl J Med",2012,23150934
"N Engl J Med",2012,22762317
"N Engl J Med",2013,24004120
"N Engl J Med",2013,23388002
"N Engl J Med",2014,25271618
"N Engl J Med",2015,26544982
"N Engl J Med",2017,29117498
"N Engl J Med",2017,28320242
"N Engl J Med",2020,32558485
"PLoS Med",2012,23226108
"PLoS Med",2012,23226107
"PLoS Med",2012,23209385
"PLoS Med",2012,23091423
"PLoS Med",2012,23028261
"PLoS Med",2012,22984353
"PLoS Med",2012,22952439
"PLoS Med",2012,22927798
"PLoS Med",2012,22912563
"PLoS Med",2012,22904691
"PLoS Med",2012,22859911
"PLoS Med",2012,22807658
"PLoS Med",2012,22745607
"PLoS Med",2012,22606070
"PLoS Med",2012,22509138
"PLoS Med",2012,22363213
"PLoS Med",2012,22291577
"PLoS Med",2013,24204215
"PLoS Med",2013,24068896
"PLoS Med",2013,23976885
"PLoS Med",2013,23966838
"PLoS Med",2013,23935459
"PLoS Med",2013,23824703
"PLoS Med",2013,23776415
"PLoS Med",2013,23723742
"PLoS Med",2013,23723741
"PLoS Med",2013,23671407
"PLoS Med",2013,23637579
"PLoS Med",2013,23554581
"PLoS Med",2013,23554579
"PLoS Med",2013,23458994
"PLoS Med",2013,23424288
"PLoS Med",2013,23393431
"PLoS Med",2013,23393428
"PLoS Med",2013,23349622
"PLoS Med",2013,23349621
"PLoS Med",2014,25423175
"PLoS Med",2014,25405755
"PLoS Med",2014,25314011
"PLoS Med",2014,25202974
"PLoS Med",2014,25117081
"PLoS Med",2014,25093720
"PLoS Med",2014,25050550
"PLoS Med",2014,25003901
"PLoS Med",2014,24824338
"PLoS Med",2014,24800926
"PLoS Med",2014,24691105
"PLoS Med",2014,24667810
"PLoS Med",2014,24642791
"PLoS Med",2014,24618794
"PLoS Med",2014,24594975
"PLoS Med",2014,24586123
"PLoS Med",2014,24586120
"PLoS Med",2014,24492409
"PLoS Med",2014,24465187
"PLoS Med",2014,24409101
"PLoS Med",2015,26694529
"PLoS Med",2015,26035557
"PLoS Med",2015,25849352
"PLoS Med",2015,25612136
"PLoS Med",2016,27898682
"PLoS Med",2016,27898679
"PLoS Med",2016,27780217
"PLoS Med",2016,27755538
"PLoS Med",2016,27598345
"PLoS Med",2016,27598322
"PLoS Med",2016,27459705
"PLoS Med",2016,27434027
"PLoS Med",2016,27071029
"PLoS Med",2016,26954482
"PLoS Med",2017,29206833
"PLoS Med",2017,28976987
"PLoS Med",2017,28926573
"PLoS Med",2017,28898252
"PLoS Med",2017,28809936
"PLoS Med",2017,28792500
"PLoS Med",2017,28666001
"PLoS Med",2017,28486474
"PLoS Med",2017,28463996
"PLoS Med",2017,28323832
"PLoS Med",2017,28072872
"PLoS Med",2018,30586362
"PLoS Med",2018,30562347
"PLoS Med",2018,30532209
"PLoS Med",2018,30481189
"PLoS Med",2018,30325928
"PLoS Med",2018,30303968
"PLoS Med",2018,30040816
"PLoS Med",2018,29995958
"PLoS Med",2018,29969463
"PLoS Med",2018,29894518
"PLoS Med",2018,29799874
"PLoS Med",2018,29718904
"PLoS Med",2018,29558462
"PLoS Med",2018,29489823
"PLoS Med",2018,29485986
"PLoS Med",2018,29462168
"PLoS Med",2018,29360829
"PLoS Med",2018,29315334
"PLoS Med",2019,31834890
"PLoS Med",2019,31821329
"PLoS Med",2019,31815931
"PLoS Med",2019,31809499
"PLoS Med",2019,31730642
"PLoS Med",2019,31665140
"PLoS Med",2019,31597983
"PLoS Med",2019,31584960
"PLoS Med",2019,31553733
"PLoS Med",2019,31550249
"PLoS Med",2019,31509529
"PLoS Med",2019,31479454
"PLoS Med",2019,31386659
"PLoS Med",2019,31386658
"PLoS Med",2019,31335910
"PLoS Med",2019,31265456
"PLoS Med",2019,31185012
"PLoS Med",2019,31095568
"PLoS Med",2019,31034476
"PLoS Med",2019,31013279
"PLoS Med",2019,30978205
"PLoS Med",2019,30742624
"PLoS Med",2019,30703100
"PLoS Med",2020,33378357
"PLoS Med",2020,33373368
"PLoS Med",2020,33290410
"PLoS Med",2020,33264277
"PLoS Med",2020,33226997
"PLoS Med",2020,33211712
"PLoS Med",2020,33180775
"PLoS Med",2020,33119589
"PLoS Med",2020,33075101
"PLoS Med",2020,33064751
"PLoS Med",2020,33048935
"PLoS Med",2020,32986711
"PLoS Med",2020,32960881
"PLoS Med",2020,32956381
"PLoS Med",2020,32941437
"PLoS Med",2020,32931504
"PLoS Med",2020,32925912
"PLoS Med",2020,32813696
"PLoS Med",2020,32810184
"PLoS Med",2020,32722673
"PLoS Med",2020,32673317
"PLoS Med",2020,32544153
"PLoS Med",2020,32453739
"PLoS Med",2020,32442232
"PLoS Med",2020,32433660
"PLoS Med",2020,32413027
"PLoS Med",2020,32407380
"PLoS Med",2020,32357197
"PLoS Med",2020,32353039
"PLoS Med",2020,32315297
"PLoS Med",2020,32231381
"PLoS Med",2020,32231359
"PLoS Med",2020,32142510
"PLoS Med",2020,32134952
"PLoS Med",2020,31905226
"PLoS Med",2021,34807920
"PLoS Med",2021,34752479
"PLoS Med",2021,34752477
"PLoS Med",2021,34624018
"PLoS Med",2021,34610024
"PLoS Med",2021,34582466
"PLoS Med",2021,34582447
"PLoS Med",2021,34582444
"PLoS Med",2021,34547017
"PLoS Med",2021,34534215
"PLoS Med",2021,34520463
"PLoS Med",2021,34520459
"PLoS Med",2021,34495978
"PLoS Med",2021,34492005
"PLoS Med",2021,34492003
"PLoS Med",2021,34491999
"PLoS Med",2021,34424908
"PLoS Med",2021,34383750
"PLoS Med",2021,34228732
"PLoS Med",2021,34181649
"PLoS Med",2021,34111122
"PLoS Med",2021,34061831
"PLoS Med",2021,34048443
"PLoS Med",2021,34003832
"PLoS Med",2021,33970913
"PLoS Med",2021,33901173
"PLoS Med",2021,33780450
"PLoS Med",2021,33647033
"PLoS Med",2021,33428616
"PLoS Med",2022,35617363
"PLoS Med",2022,35439243
"PLoS Med",2022,35385471
"PLoS Med",2022,35316272
"PLoS Med",2022,35290369
"PLoS Med",2022,35239659
"PLoS Med",2022,35167593
"PLoS Med",2022,35104296
"PLoS Med",2022,35077459
"PLoS Med",2022,35077453
"PLoS Med",2022,35045113
"PLoS Med",2022,35041650
"Environ Health Perspect",2012,23131992
"Environ Health Perspect",2012,22820538
"Environ Health Perspect",2012,22814173
"Environ Health Perspect",2012,22728254
"Environ Health Perspect",2012,22389202
"Environ Health Perspect",2013,24273233
"Environ Health Perspect",2013,24076757
"Environ Health Perspect",2014,24968389
"Environ Health Perspect",2014,24968388
"Environ Health Perspect",2014,24968374
"Environ Health Perspect",2014,24911630
"Environ Health Perspect",2014,24835507
